datasetName	habitat	stationCode	samplingLevel	sampleTrackCode	sampleAreaOrVolume	samples.unit	samplingMinDepth	samplingMaxDepth	samplingMaxElevation	samplingMinElevation	sampledSedimentDepth	replicateOrQuadrant	samplingTool	taxonNameAsInFile	EMBOS_name	WoRMS_scientificName	lifeStage	sex	parameter	parameters.unit	value
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Mytilus	Mytilus	Mytilus	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		36
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R3	133	cm2	0.5	0.5			30	3	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		23
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P3-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		14
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Hydrobia	Hydrobia	Hydrobia	Adult		Individual Count		3
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		19
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R1	133	cm2	0.5	0.5			30	1	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		9
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Hydrobia	Hydrobia	Hydrobia	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		20
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Neomysis integer	Neomysis integer	Neomysis integer	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P2-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		35
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Hydrobia	Hydrobia	Hydrobia	Adult		Individual Count		1
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Bathyporeia pilosa	Bathyporeia pilosa	Bathyporeia pilosa	Adult		Individual Count		16
EMBOS_pilot_2014_Poland_Puck_Bay_softsub	soft substrate (beach)	PL-PB-SUB	subtidal	PL-2014-PB-SUB-P1-R2	133	cm2	0.5	0.5			30	2	EMBOS corer	Polychaeta 	Polychaeta	Polychaeta	Juvenile		Individual Count		20
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Nephtys	Nephtys	Nephtys			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Pygospio elegans	Pygospio elegans	Pygospio elegans			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Cumopsis	Cumopsis	Cumopsis			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Bivalvia	Bivalvia	Bivalvia			Individual Count		2
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Heteromastus filiformis	Heteromastus filiformis	Heteromastus filiformis			Individual Count		7
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Nephtys hombergii	Nephtys hombergii	Nephtys hombergii			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Mya	Mya	Mya			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Bivalvia	Bivalvia	Bivalvia			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Crangon crangon	Crangon crangon	Crangon crangon			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Heteromastus filiformis	Heteromastus filiformis	Heteromastus filiformis			Individual Count		6
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Nephtys hombergii	Nephtys hombergii	Nephtys hombergii			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		2
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Heteromastus filiformis	Heteromastus filiformis	Heteromastus filiformis			Individual Count		3
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Caridea	Caridea	Caridea			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P3-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Gammarus	Gammarus	Gammarus			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Crangon crangon	Crangon crangon	Crangon crangon			Individual Count		2
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Nephtys hombergii	Nephtys hombergii	Nephtys hombergii			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		3
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Pygospio elegans	Pygospio elegans	Pygospio elegans			Individual Count		2
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Pholoe inornata	Pholoe inornata	Pholoe inornata			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Capitella	Capitella	Capitella			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Cerastoderma edule	Cerastoderma edule	Cerastoderma edule			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		3
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Pygospio elegans	Pygospio elegans	Pygospio elegans			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P2-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Cumopsis	Cumopsis	Cumopsis			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R3	133	cm2			0.05	0.05	30	3	EMBOS corer	Corophium arenarium	Corophium arenarium	Corophium arenarium			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Peringia ulvae  	Peringia ulvae	Peringia ulvae			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Oligochaeta 	Oligochaeta	Oligochaeta			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Pygospio elegans	Pygospio elegans	Pygospio elegans			Individual Count		2
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R1	133	cm2			0.05	0.05	30	1	EMBOS corer	Urothoe poseidonis	Urothoe poseidonis	Urothoe poseidonis			Individual Count		1
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Urothoe poseidonis	Urothoe poseidonis	Urothoe poseidonis			Individual Count		3
EMBOS_pilot_2014_Netherlands_Oosterschelde_softsub	soft substrate (beach)	NL-OS01-LWL	intertidal	NL-2014-OS01-LWL-P1-R2	133	cm2			0.05	0.05	30	2	EMBOS corer	Peringia ulvae  	Peringia ulvae	Peringia ulvae			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Leptochelia savignyi	Leptochelia savignyi	Leptochelia savignyi			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		8
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Capitella	Capitella	Capitella			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Malacoceros	Malacoceros	Malacoceros			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Caulleriella viridis	Caulleriella viridis	Caulleriella viridis			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Protodorvillea kefersteini	Protodorvillea kefersteini	Protodorvillea kefersteini			Individual Count		2
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Exogone (Exogone) dispar	Exogone (Exogone) dispar	Exogone (Exogone) dispar			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Salvatoria yraidae	Salvatoria yraidae	Salvatoria yraidae			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Caulleriella viridis	Caulleriella viridis	Caulleriella viridis			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Protodorvillea kefersteini	Protodorvillea kefersteini	Protodorvillea kefersteini			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Caulleriella viridis	Caulleriella viridis	Caulleriella viridis			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Syllidae	Syllidae	Syllidae			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R3	133	cm2	0.1	0.1			30	3	EMBOS corer	Dorvilleidae	Dorvilleidae	Dorvilleidae			Individual Count		2
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		10
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P1-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Ctena decussata	Ctena decussata	Ctena decussata			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R2	133	cm2	0.1	0.1			30	2	EMBOS corer	Autonoe spiniventris	Autonoe spiniventris	Autonoe spiniventris			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Neverita	Neverita	Neverita			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Nereididae	Nereididae	Nereididae			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Aricidea	Aricidea	Aricidea			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Caulleriella viridis	Caulleriella viridis	Caulleriella viridis			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P2-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Protodorvillea kefersteini	Protodorvillea kefersteini	Protodorvillea kefersteini			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-IT	intertidal	GR-2014-CR01-LWL-P3-R1	133	cm2	0.1	0.1			30	1	EMBOS corer	Biota	Biota	Biota			Individual Count		0
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Capitomastus minimus	Capitella minima	Capitella minima			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Aricidea cerrutii	Aricidea (Acmira) cerrutii	Aricidea (Acmira) cerrutii			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Nereididae	Nereididae	Nereididae			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Autonoe spiniventris	Autonoe spiniventris	Autonoe spiniventris			Individual Count		3
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Protodorvillea kefersteini	Protodorvillea kefersteini	Protodorvillea kefersteini			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Amphioxus	Branchiostoma	Branchiostoma			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Oligochaeta	Oligochaeta	Oligochaeta			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Loripes lacteus	Loripes lacteus	Loripes lacteus			Individual Count		14
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Guernea (Guernea) coalita	Guernea (Guernea) coalita	Guernea (Guernea) coalita			Individual Count		4
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Diastyliole bozopa	Diastylis	Diastylis			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P3-R2	133	cm2	0.3	0.3			30	2	EMBOS corer	Salvatoria	Salvatoria	Salvatoria			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P3-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Oligochaeta	Oligochaeta	Oligochaeta			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P3-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Sipuncula	Sipuncula	Sipuncula			Individual Count		2
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P3-R1	133	cm2	0.3	0.3			30	1	EMBOS corer	Syllidae	Syllidae	Syllidae			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R2	133	cm2	0.3	0.3			30	2	EMBOS corer	Capitomastus minimus	Capitella minima	Capitella minima			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R2	133	cm2	0.3	0.3			30	2	EMBOS corer	Aricidea cerrutii	Aricidea (Acmira) cerrutii	Aricidea (Acmira) cerrutii			Individual Count		1
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R2	133	cm2	0.3	0.3			30	2	EMBOS corer	Schroederella lombieri	Schroederella laubieri	Schroederella laubieri			Individual Count		2
EMBOS_pilot_2014_Greece_Balos_softsub	soft substrate (beach)	GR-CR01-ST	subtidal	GR-2014-CR01-SUB-P2-R2	133	cm2	0.3	0.3			30	2	EMBOS corer	Larvae	Animalia	Animalia			Individual Count		1
